id_penjualan,id_invoice,tanggal,id_customer,nama_customer,nama_barang,cabang_sales,id_distributor,group_category,jumlah_barang,total_barang,total_pembelian
IN6151BRG0001,IN6151,2022-05-02,CUST55720,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,78,1,91252.98000000001
IN6152BRG0003,IN6152,2022-01-31,CUST55512,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,10,1,106906
IN6153BRG0008,IN6153,2022-03-27,CUST55597,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,17,1,67862.300000000003
IN6154BRG0002,IN6154,2022-04-19,CUST55641,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,12,1,28050
IN6155BRG0003,IN6155,2022-01-21,CUST55382,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,9,1,96215.400000000009
IN6156BRG0009,IN6156,2022-04-07,CUST55608,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,24,1,138736.79999999999
IN6157BRG0004,IN6157,2022-04-12,CUST55613,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,67,1,582946.90000000002
IN6158BRG0010,IN6158,2022-05-01,CUST55699,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,13,1,90223.900000000009
IN6159BRG0010,IN6159,2022-06-13,CUST55689,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,67,1,465000.10000000003
IN6160BRG0003,IN6160,2022-05-27,CUST55672,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,5,1,53453
IN6161BRG0001,IN6161,2022-01-27,CUST55466,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,24,1,110210.40000000001
IN6162BRG0004,IN6162,2022-01-28,CUST55503,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,12,1,104408.40000000001
IN6163BRG0002,IN6163,2022-01-30,CUST55421,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,5,1,11687.5
IN6164BRG0009,IN6164,2022-03-08,CUST55578,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,1,1,5780.6999999999998
IN6165BRG0003,IN6165,2022-06-16,CUST55722,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,34,1,363480.40000000002
IN6166BRG0006,IN6166,2022-05-30,CUST55675,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,1,1,2819.1999999999998
IN6167BRG0002,IN6167,2022-01-28,CUST55491,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,12,1,28050
IN6168BRG0005,IN6168,2022-05-13,CUST55644,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,24,1,135559.20000000001
IN6169BRG0006,IN6169,2022-05-20,CUST55665,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,67,1,188886.39999999999
IN6170BRG0006,IN6170,2022-01-30,CUST55505,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,13,1,36649.599999999999
IN6171BRG0006,IN6171,2022-02-03,CUST55545,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,25,1,70480
IN6172BRG0002,IN6172,2022-01-28,CUST55497,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,12,1,47902.800000000003
IN6173BRG0001,IN6173,2022-01-27,CUST55406,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,12,1,55105.200000000004
IN6174BRG0003,IN6174,2022-04-17,CUST55618,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,9,1,52026.299999999996
IN6175BRG0005,IN6175,2022-01-31,CUST55404,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,18,1,101669.40000000001
IN6176BRG0004,IN6176,2022-01-30,CUST55403,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,17,1,147911.90000000002
IN6177BRG0006,IN6177,2022-03-15,CUST55585,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,17,1,47926.399999999994
IN6178BRG0006,IN6178,2022-05-02,CUST55695,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,18,1,50745.599999999999
IN6179BRG0010,IN6179,2022-05-24,CUST55669,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,8,1,55522.400000000001
IN6180BRG0005,IN6180,2022-04-13,CUST55614,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,98,1,553533.40000000002
IN6181BRG0010,IN6181,2022-02-07,CUST55549,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,130,1,902239
IN6182BRG0008,IN6182,2022-03-07,CUST55577,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,13,1,51894.700000000004
IN6183BRG0003,IN6183,2022-01-23,CUST55498,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,25,1,144517.5
IN6184BRG0006,IN6184,2022-01-28,CUST55395,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,25,1,70480
IN6185BRG0004,IN6185,2022-02-01,CUST55483,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,9,1,78306.300000000003
IN6186BRG0001,IN6186,2022-01-31,CUST55500,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,17,1,19888.470000000001
IN6187BRG0007,IN6187,2022-04-05,CUST55606,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,25,1,114802.50000000001
IN6188BRG0005,IN6188,2022-01-27,CUST55454,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,10,1,56483
IN6189BRG0005,IN6189,2022-03-04,CUST55574,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,1,1,5648.3000000000002
IN6190BRG0001,IN6190,2022-01-23,CUST55390,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,2,1,2339.8200000000002
IN6191BRG0003,IN6191,2022-01-31,CUST55422,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,4,1,42762.400000000001
IN6192BRG0006,IN6192,2022-05-14,CUST55645,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,10,1,28192
IN6193BRG0003,IN6193,2022-03-18,CUST55588,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,12,1,69368.399999999994
IN6194BRG0009,IN6194,2022-04-18,CUST55658,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,25,1,144517.5
IN6195BRG0009,IN6195,2022-01-31,CUST55398,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,67,1,387306.89999999997
IN6196BRG0001,IN6196,2022-01-31,CUST55530,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,45,1,52645.950000000004
IN6197BRG0001,IN6197,2022-04-29,CUST55630,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,34,1,39776.940000000002
IN6198BRG0001,IN6198,2022-06-04,CUST55680,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,4,1,4679.6400000000003
IN6199BRG0010,IN6199,2022-01-28,CUST55509,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,25,1,173507.5
IN6200BRG0004,IN6200,2022-01-28,CUST55473,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,5,1,43503.5
IN6201BRG0009,IN6201,2022-05-23,CUST55668,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,4,1,23122.799999999999
IN6202BRG0003,IN6202,2022-01-23,CUST55528,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,34,1,196543.79999999999
IN6203BRG0005,IN6203,2022-01-31,CUST55524,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,100,1,564830
IN6204BRG0008,IN6204,2022-06-16,CUST55727,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,34,1,135724.60000000001
IN6205BRG0001,IN6205,2022-01-27,CUST55520,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,8,1,9359.2800000000007
IN6206BRG0003,IN6206,2022-03-12,CUST55582,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,23,1,245883.80000000002
IN6207BRG0006,IN6207,2022-04-04,CUST55605,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,12,1,33830.399999999994
IN6208BRG0006,IN6208,2022-01-30,CUST55475,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,8,1,22553.599999999999
IN6209BRG0001,IN6209,2022-03-16,CUST55586,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,11,1,50513.100000000006
IN6210BRG0007,IN6210,2022-01-23,CUST55486,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,4,1,18368.400000000001
IN6211BRG0002,IN6211,2022-02-01,CUST55501,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,18,1,42075
IN6212BRG0002,IN6212,2022-06-05,CUST55681,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,2,1,4675
IN6213BRG0002,IN6213,2022-05-03,CUST55701,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,21,1,49087.5
IN6214BRG0002,IN6214,2022-01-28,CUST55461,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,21,1,49087.5
IN6215BRG0001,IN6215,2022-01-23,CUST55510,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,13,1,15208.830000000002
IN6216BRG0007,IN6216,2022-01-23,CUST55456,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,98,1,450025.80000000005
IN6217BRG0003,IN6217,2022-01-23,CUST55438,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,5,1,28903.5
IN6218BRG0010,IN6218,2022-04-17,CUST55639,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,21,1,145746.30000000002
IN6219BRG0001,IN6219,2022-01-27,CUST55436,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,34,1,156131.40000000002
IN6220BRG0005,IN6220,2022-01-23,CUST55444,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,48,1,271118.40000000002
IN6221BRG0005,IN6221,2022-01-23,CUST55504,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,25,1,141207.5
IN6222BRG0003,IN6222,2022-06-02,CUST55678,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,1,1,5780.6999999999998
IN6223BRG0004,IN6223,2022-05-02,CUST55633,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,6,1,52204.200000000004
IN6224BRG0004,IN6224,2022-02-17,CUST55559,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,21,1,145746.30000000002
IN6225BRG0002,IN6225,2022-04-30,CUST55631,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,44,1,102850
IN6226BRG0007,IN6226,2022-01-31,CUST55416,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,23,1,105618.3
IN6227BRG0002,IN6227,2022-04-10,CUST55611,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,12,1,28050
IN6228BRG0009,IN6228,2022-01-27,CUST55508,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,12,1,69368.399999999994
IN6229BRG0006,IN6229,2022-03-05,CUST55575,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,5,1,14096
IN6230BRG0004,IN6230,2022-01-28,CUST55413,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,13,1,113109.10000000001
IN6231BRG0004,IN6231,2022-02-21,CUST55563,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,24,1,208816.80000000002
IN6232BRG0010,IN6232,2022-04-08,CUST55609,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,10,1,69403
IN6233BRG0001,IN6233,2022-01-23,CUST55450,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,24,1,28077.840000000004
IN6234BRG0003,IN6234,2022-02-10,CUST55552,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,67,1,716270.20000000007
IN6235BRG0002,IN6235,2022-01-30,CUST55451,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,10,1,23375
IN6236BRG0005,IN6236,2022-06-08,CUST55684,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,11,1,62131.300000000003
IN6237BRG0004,IN6237,2022-04-18,CUST55619,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,10,1,69403
IN6238BRG0001,IN6238,2022-01-27,CUST55460,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,9,1,10529.190000000001
IN6239BRG0003,IN6239,2022-03-02,CUST55572,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,8,1,85524.800000000003
IN6240BRG0002,IN6240,2022-01-30,CUST55541,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,48,1,112200
IN6241BRG0001,IN6241,2022-01-31,CUST55440,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,79,1,92422.889999999999
IN6242BRG0005,IN6242,2022-01-23,CUST55534,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,44,1,248525.20000000001
IN6243BRG0006,IN6243,2022-02-01,CUST55525,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,67,1,188886.39999999999
IN6244BRG0003,IN6244,2022-01-31,CUST55542,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,21,1,224502.60000000001
IN6245BRG0008,IN6245,2022-01-30,CUST55397,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,34,1,135724.60000000001
IN6246BRG0004,IN6246,2022-01-28,CUST55533,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,34,1,295823.80000000005
IN6247BRG0006,IN6247,2022-01-28,CUST55425,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,10,1,28192
IN6248BRG0008,IN6248,2022-01-30,CUST55427,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,100,1,399190
IN6249BRG0004,IN6249,2022-04-30,CUST55703,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,25,1,217517.50000000003
IN6250BRG0002,IN6250,2022-03-17,CUST55587,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,11,1,43910.900000000001
IN6251BRG0008,IN6251,2022-01-23,CUST55387,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,1,1,3991.9000000000001
IN6252BRG0004,IN6252,2022-05-18,CUST55649,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,67,1,465000.10000000003
IN6253BRG0002,IN6253,2022-01-28,CUST55431,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,34,1,79475
IN6254BRG0005,IN6254,2022-02-02,CUST55544,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,12,1,67779.600000000006
IN6255BRG0007,IN6255,2022-01-31,CUST55446,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,21,1,96434.100000000006
IN6256BRG0004,IN6256,2022-01-30,CUST55463,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,12,1,104408.40000000001
IN6257BRG0006,IN6257,2022-04-14,CUST55615,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,5,1,14096
IN6258BRG0005,IN6258,2022-01-27,CUST55484,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,1,1,5648.3000000000002
IN6259BRG0006,IN6259,2022-02-01,CUST55405,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,18,1,50745.599999999999
IN6260BRG0005,IN6260,2022-02-22,CUST55564,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,10,1,56483
IN6261BRG0008,IN6261,2022-02-05,CUST55547,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,24,1,95805.600000000006
IN6262BRG0010,IN6262,2022-01-28,CUST55419,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,67,1,465000.10000000003
IN6263BRG0003,IN6263,2022-01-31,CUST55452,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,130,1,1389778
IN6264BRG0001,IN6264,2022-06-14,CUST55690,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,15,1,17548.650000000001
IN6265BRG0009,IN6265,2022-04-30,CUST55698,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,25,1,144517.5
IN6266BRG0002,IN6266,2022-02-01,CUST55531,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,34,1,79475
IN6267BRG0010,IN6267,2022-02-01,CUST55459,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,8,1,55522.400000000001
IN6268BRG0003,IN6268,2022-06-16,CUST55692,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,25,1,267265
IN6269BRG0004,IN6269,2022-02-01,CUST55453,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,12,1,104408.40000000001
IN6270BRG0007,IN6270,2022-05-03,CUST55696,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,18,1,82657.800000000003
IN6271BRG0005,IN6271,2022-04-03,CUST55604,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,21,1,118614.3
IN6272BRG0001,IN6272,2022-05-19,CUST55650,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,98,1,114651.18000000001
IN6273BRG0005,IN6273,2022-05-03,CUST55634,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,79,1,446215.70000000001
IN6274BRG0004,IN6274,2022-02-01,CUST55423,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,8,1,69605.600000000006
IN6275BRG0009,IN6275,2022-02-26,CUST55568,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,67,1,387306.89999999997
IN6276BRG0002,IN6276,2022-01-30,CUST55481,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,1,1,2337.5
IN6277BRG0010,IN6277,2022-04-28,CUST55629,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,34,1,235970.20000000001
IN6278BRG0004,IN6278,2022-01-30,CUST55499,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,13,1,90223.900000000009
IN6279BRG0004,IN6279,2022-01-30,CUST55529,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,20,1,138806
IN6280BRG0005,IN6280,2022-01-23,CUST55384,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,1,1,5648.3000000000002
IN6281BRG0006,IN6281,2022-01-30,CUST55415,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,10,1,28192
IN6282BRG0004,IN6282,2022-05-28,CUST55673,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,9,1,78306.300000000003
IN6283BRG0005,IN6283,2022-05-19,CUST55664,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,10,1,56483
IN6284BRG0001,IN6284,2022-01-23,CUST55540,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,76,1,88913.160000000003
IN6285BRG0001,IN6285,2022-05-15,CUST55646,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,130,1,596973
IN6286BRG0003,IN6286,2022-01-23,CUST55468,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,120,1,693684
IN6287BRG0002,IN6287,2022-01-30,CUST55391,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,17,1,39737.5
IN6288BRG0003,IN6288,2022-06-06,CUST55682,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,17,1,181740.20000000001
IN6289BRG0003,IN6289,2022-01-23,CUST55492,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,25,1,267265
IN6290BRG0003,IN6290,2022-03-22,CUST55592,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,67,1,716270.20000000007
IN6291BRG0010,IN6291,2022-02-01,CUST55489,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,11,1,76343.300000000003
IN6292BRG0002,IN6292,2022-01-28,CUST55467,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,10,1,39919
IN6293BRG0010,IN6293,2022-02-01,CUST55519,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,4,1,27761.200000000001
IN6294BRG0002,IN6294,2022-05-03,CUST55711,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,98,1,229075
IN6295BRG0004,IN6295,2022-05-22,CUST55653,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,8,1,69605.600000000006
IN6296BRG0006,IN6296,2022-06-09,CUST55685,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,12,1,33830.399999999994
IN6297BRG0002,IN6297,2022-01-20,CUST55381,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,5,1,11687.5
IN6298BRG0003,IN6298,2022-05-21,CUST55652,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,4,1,42762.400000000001
IN6299BRG0005,IN6299,2022-01-27,CUST55514,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,12,1,67779.600000000006
IN6300BRG0008,IN6300,2022-02-01,CUST55507,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,21,1,83829.900000000009
IN6301BRG0004,IN6301,2022-02-01,CUST55393,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,11,1,95707.700000000012
IN6302BRG0006,IN6302,2022-02-23,CUST55565,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,120,1,338304
IN6303BRG0010,IN6303,2022-01-28,CUST55539,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,95,1,659328.5
IN6304BRG0009,IN6304,2022-04-30,CUST55728,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,44,1,254350.79999999999
IN6305BRG0004,IN6305,2022-01-30,CUST55493,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,13,1,113109.10000000001
IN6306BRG0001,IN6306,2022-01-27,CUST55430,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,45,1,52645.950000000004
IN6307BRG0007,IN6307,2022-01-23,CUST55396,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,13,1,59697.300000000003
IN6308BRG0007,IN6308,2022-01-23,CUST55516,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,67,1,307670.70000000001
IN6309BRG0008,IN6309,2022-04-26,CUST55627,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,45,1,179635.5
IN6310BRG0004,IN6310,2022-04-30,CUST55693,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,13,1,113109.10000000001
IN6311BRG0007,IN6311,2022-01-23,CUST55426,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,7,1,32144.700000000004
IN6312BRG0006,IN6312,2022-05-02,CUST55725,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,34,1,95852.799999999988
IN6313BRG0001,IN6313,2022-04-20,CUST55660,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,24,1,28077.840000000004
IN6314BRG0002,IN6314,2022-01-28,CUST55527,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,45,1,179635.5
IN6315BRG0004,IN6315,2022-04-21,CUST55643,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,13,1,113109.10000000001
IN6316BRG0003,IN6316,2022-04-19,CUST55662,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,120,1,1282872
IN6317BRG0003,IN6317,2022-01-23,CUST55522,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,10,1,106906
IN6318BRG0003,IN6318,2022-01-23,CUST55462,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,21,1,224502.60000000001
IN6319BRG0004,IN6319,2022-02-11,CUST55553,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,98,1,852668.60000000009
IN6320BRG0006,IN6320,2022-02-01,CUST55495,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,67,1,188886.39999999999
IN6321BRG0001,IN6321,2022-01-31,CUST55410,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,21,1,24568.110000000001
IN6322BRG0009,IN6322,2022-01-31,CUST55488,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,17,1,98271.899999999994
IN6323BRG0004,IN6323,2022-01-30,CUST55439,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,6,1,41641.800000000003
